DICO,rcm,latitude,longitude,CONCELHO,DISTRITO
0101,Reduzido,40.58,-8.44,Águeda,AVEIRO
0102,Reduzido,40.6909,-8.4784,Albergaria-a-Velha,AVEIRO
0103,Reduzido,40.44,-8.44,Anadia,AVEIRO
0104,Reduzido,40.93,-8.26,Arouca,AVEIRO
0105,Reduzido,40.6413,-8.6535,Aveiro,AVEIRO
0106,Reduzido,41.0409,-8.2707,Castelo de Paiva,AVEIRO
0107,Reduzido,41.01,-8.64,Espinho,AVEIRO
0108,Reduzido,40.754,-8.572,Estarreja,AVEIRO
0109,Reduzido,40.93,-8.55,Santa Maria da Feira,AVEIRO
0110,Reduzido,40.6,-8.67,Ílhavo,AVEIRO
0111,Reduzido,40.3783,-8.4503,Mealhada,AVEIRO
0112,Reduzido,40.74,-8.64,Murtosa,AVEIRO
0113,Reduzido,40.84,-8.48,Oliveira de Azeméis,AVEIRO
0114,Reduzido,40.5157,-8.4941,Oliveira do Bairro,AVEIRO
0115,Reduzido,40.8596,-8.6254,Ovar,AVEIRO
0116,Reduzido,40.9,-8.49,São João da Madeira,AVEIRO
0117,Reduzido,40.7334,-8.3713,Sever do Vouga,AVEIRO
0118,Reduzido,40.5535,-8.6833,Vagos,AVEIRO
0119,Reduzido,40.85,-8.39,Vale de Cambra,AVEIRO
0201,Reduzido,37.88,-8.17,Aljustrel,BEJA
0202,Reduzido,37.5108,-8.056,Almodôvar,BEJA
0203,Reduzido,38.26,-8,Alvito,BEJA
0204,Reduzido,38.13,-6.98,Barrancos,BEJA
0205,Reduzido,38.02,-7.87,Beja,BEJA
0206,Reduzido,38.07,-7.93,Castro Verde,BEJA
0207,Reduzido,38.17,-7.89,Cuba,BEJA
0208,Reduzido,38.06,-8.11,Ferreira do Alentejo,BEJA
0209,Moderado,37.6428,-7.6605,Mértola,BEJA
0210,Reduzido,38.14,-7.45,Moura,BEJA
0211,Reduzido,37.5978,-8.639,Odemira,BEJA
0212,Reduzido,37.65,-8.22,Ourique,BEJA
0213,Reduzido,37.95,-7.6,Serpa,BEJA
0214,Reduzido,38.21,-7.8,Vidigueira,BEJA
0301,Reduzido,41.54,-8.61,Amares,BRAGA
0302,Reduzido,41.6314,-8.3489,Barcelos,BRAGA
0303,Reduzido,41.5475,-8.4227,Braga,BRAGA
0304,Reduzido,41.514,-7.9901,Cabeceiras de Basto,BRAGA
0305,Reduzido,41.39,-8,Celorico de Basto,BRAGA
0306,Reduzido,41.5356,-8.7819,Esposende,BRAGA
0307,Reduzido,41.4472,-8.1732,Fafe,BRAGA
0308,Reduzido,41.4434,-8.2938,Guimarães,BRAGA
0309,Reduzido,41.5762,-8.2708,Póvoa de Lanhoso,BRAGA
0310,Reduzido,41.72,-8.31,Terras de Bouro,BRAGA
